PPID,Friend1Name,Friend2Name,Friend3Name,Friend4Name,Friend5Name,Friend6Name,FriendStrength1,FriendStrength2,FriendStrength3,FriendStrength4,FriendStrength5,FriendStrength6,Politics1Name,Politics2Name,Politics3Name,Politics4Name,Politics5Name,Politics6Name,PoliticsStrength1,PoliticsStrength2,PoliticsStrength3,PoliticsStrength4,PoliticsStrength5,PoliticsStrength6
5201,5315,5313,5216,5206,5215,5222,5,2,5,5,4,5,,,,,,,NA,NA,NA,NA,NA,NA
5223,5217,5225,5212,5207,5206,5202,5,4,3,3,3,4,,,,,,,NA,NA,NA,NA,NA,NA
5093,5085,5104,5087,5382,5070,5382,5,5,5,5,5,4,5382,5087,5088,5210,5067,5108,4,4,3,2,2,3
5216,5206,5209,5201,5215,5207,5221,5,5,5,3,3,4,5206,5201,,,,,NA,NA,NA,NA,NA,NA
5378,5200,5224,5222,5212,,,5,5,5,5,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
5199,5224,5200,5218,5203,5213,5206,4,3,4,3,3,3,5221,5206,5214,,,,2,2,2,NA,NA,NA
5332,5313,5282,5310,5290,5324,5327,3,2,4,4,5,5,5310,5290,5313,,,,2,4,2,NA,NA,NA
5136,5021,5144,5022,5146,5112,5116,4,5,3,4,2,2,5021,5116,,,,,2,2,NA,NA,NA,NA
5098,5107,5084,5078,5025,5098,,5,4,4,5,5,NA,5084,,,,,,4,NA,NA,NA,NA,NA
5195,5198,5191,,,,,3,2,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
5313,5020,5018,5006,5338,5326,5282,3,3,5,4,5,3,,,,,,,NA,NA,NA,NA,NA,NA
5224,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
5307,5283,5338,5300,5339,5282,5319,NA,NA,NA,NA,NA,NA,5283,5332,,,,,NA,NA,NA,NA,NA,NA
5257,5252,5256,5254,5253,5257,,5,5,5,5,5,NA,5252,,,,,,2,NA,NA,NA,NA,NA
5367,5346,5365,5130,,,,5,3,3,NA,NA,NA,5365,5351,,,,,3,2,NA,NA,NA,NA
5220,5199,5224,5200,5222,5214,,3,2,5,5,2,NA,5200,5222,,,,,3,2,NA,NA,NA,NA
5129,5130,,5050,5355,5376,5357,5,5,5,4,4,3,5130,5131,5050,5123,5125,5122,1,2,1,3,2,2
5245,5231,5230,5244,5247,5227,5237,NA,NA,NA,NA,NA,NA,5238,,,,,,NA,NA,NA,NA,NA,NA
5068,5108,,5079,5382,,5058,5,5,5,4,5,5,5079,,,,,,1,NA,NA,NA,NA,NA
5090,5105,,5055,,,,5,5,5,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
5067,5107,5102,,5325,5069,5062,5,5,5,5,5,5,,,,,,,NA,NA,NA,NA,NA,NA
5380,5345,,,,,,4,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
5121,5133,5122,5139,5130,5157,5137,NA,NA,NA,NA,NA,NA,5122,,,,,,NA,NA,NA,NA,NA,NA
5381,5209,5206,5311,5201,5221,5106,5,5,5,5,5,5,,,,,,,NA,NA,NA,NA,NA,NA
