PPID,Friend1Name,Friend2Name,Friend3Name,Friend4Name,Friend5Name,Friend6Name,FriendStrength1,FriendStrength2,FriendStrength3,FriendStrength4,FriendStrength5,FriendStrength6,Politics1Name,Politics2Name,Politics3Name,Politics4Name,Politics5Name,Politics6Name,PoliticsStrength1,PoliticsStrength2,PoliticsStrength3,PoliticsStrength4,PoliticsStrength5,PoliticsStrength6
1640,1520,1514,1521,1570,1616,1619,5,5,4,4,3,2,1520,1514,1570,,,,4,3,4,NA,NA,NA
1105,1099,1620,1213,1106,1103,,5,4,2,4,4,NA,,,,,,,NA,NA,NA,NA,NA,NA
1107,1108,1517,1109,1525,,,5,5,4,5,NA,NA,1108,,,,,,4,NA,NA,NA,NA,NA
1638,1267,1248,1041,1015,1639,,4,4,3,3,5,NA,1639,,,,,,3,NA,NA,NA,NA,NA
1799,1277,1793,1245,1794,,,3,3,3,3,NA,NA,1277,1794,,,,,NA,NA,NA,NA,NA,NA
1487,1501,1506,1497,1491,,,5,5,5,5,NA,NA,1576,1490,,,,,3,2,NA,NA,NA,NA
1166,1463,1464,1465,1169,1467,1476,5,5,5,5,5,5,,,,,,,NA,NA,NA,NA,NA,NA
1852,1354,1366,1360,1350,,,2,4,3,2,NA,NA,1354,,,,,,3,NA,NA,NA,NA,NA
1371,1366,1141,1354,1363,,,5,5,3,2,NA,NA,1202,1187,,,,,3,3,NA,NA,NA,NA
1525,1518,1744,1521,1592,1146,,5,5,4,3,3,NA,1518,1744,1521,,,,NA,NA,NA,NA,NA,NA
1849,1659,1250,1254,1238,,,5,4,3,3,NA,NA,1250,1251,1254,,,,4,3,3,NA,NA,NA
1416,1395,1402,1406,1383,1388,1390,NA,NA,NA,NA,NA,NA,1395,1398,1391,1385,1402,1388,NA,NA,NA,NA,NA,NA
1167,1166,1142,1177,1158,1170,1154,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
1853,1054,1050,1055,1045,1046,1673,5,5,4,4,3,4,1050,,,,,,2,NA,NA,NA,NA,NA
1822,1815,1817,1814,1828,1830,1825,5,2,1,2,3,1,,,,,,,NA,NA,NA,NA,NA,NA
1627,1625,1626,1017,1436,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
