PPID,Friend1Name,Friend2Name,Friend3Name,Friend4Name,Friend5Name,Friend6Name,FriendStrength1,FriendStrength2,FriendStrength3,FriendStrength4,FriendStrength5,FriendStrength6,Politics1Name,Politics2Name,Politics3Name,Politics4Name,Politics5Name,Politics6Name,PoliticsStrength1,PoliticsStrength2,PoliticsStrength3,PoliticsStrength4,PoliticsStrength5,PoliticsStrength6
3092,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
3118,3092,3105,3101,3116,3090,3170,5,5,5,5,5,5,3092,3105,3101,3116,3090,,NA,NA,NA,NA,NA,NA
3209,3180,3155,,3213,3164,3080,5,4,4,3,2,4,3180,,,,,,2,NA,NA,NA,NA,NA
3259,3028,3258,3043,3037,,,NA,NA,NA,NA,NA,NA,3028,3267,,,,,NA,NA,NA,NA,NA,NA
3043,3028,3259,3258,3037,3014,,5,4,4,4,2,NA,3037,,,,,,1,NA,NA,NA,NA,NA
3028,3043,3047,3258,3159,3037,3025,5,5,5,2,4,4,3043,3047,,,,,3,4,NA,NA,NA,NA
3124,3125,3127,3126,,,,5,3,5,NA,NA,NA,3125,3126,3127,,,,3,2,1,NA,NA,NA
3016,3037,3014,3002,3263,3258,3259,5,5,5,5,5,5,3014,3037,3002,,,,3,3,2,NA,NA,NA
3187,3214,3171,3198,3178,3193,,5,5,5,5,5,NA,,,,,,,NA,NA,NA,NA,NA,NA
3079,3118,3092,3108,,,,2,2,4,2,NA,NA,3118,3115,3092,,,,2,3,2,NA,NA,NA
3015,3004,3086,3264,3000,3001,3031,5,5,4,5,4,4,3000,3051,3001,3044,,,4,3,4,4,NA,NA
3180,3155,3209,3265,3164,3177,3180,5,5,4,4,4,5,3209,3265,3155,3188,3159,3180,4,3,1,2,2,4
3258,3259,3037,3043,3028,,,5,5,5,5,NA,NA,3021,3259,,,,,3,4,NA,NA,NA,NA
3002,3263,3039,3032,3018,3036,,5,4,4,5,5,NA,,,,,,,NA,NA,NA,NA,NA,NA
3005,3049,3018,3050,3013,3046,3035,5,4,5,5,5,5,3046,3018,,,,,NA,NA,NA,NA,NA,NA
3031,3258,3016,3259,3014,3002,,5,5,5,5,4,5,3258,3259,3014,,,,3,3,2,1,NA,NA
3192,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
3187,3189,,,,,,5,5,5,4,4,4,3189,,,,,,3,3,NA,NA,NA,NA
3214,3260,,3261,3171,3198,3202,5,5,5,5,5,5,,,,,,,2,2,NA,NA,NA,NA
3159,3188,3177,3207,3200,3153,,5,4,5,5,4,4,3188,3207,3200,,,,2,2,2,NA,NA,NA
3262,3198,3202,3260,3214,3178,3176,5,5,5,5,5,5,,,,,,,NA,NA,NA,NA,NA,NA
3171,3198,3214,3260,3089,,,4,3,3,5,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
3170,3081,3028,,,,,4,2,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
3189,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
3262,3264,3017,3005,3034,3025,3018,3,4,4,3,3,3,3021,3034,3040,3046,3033,3042,4,3,2,3,2,4
3238,3253,3239,3153,,,,5,5,5,NA,NA,NA,3239,3253,,,,,NA,NA,NA,NA,NA,NA
3113,3109,3090,3094,3085,3096,,NA,NA,NA,NA,NA,NA,3090,3096,3109,,,,NA,NA,NA,NA,NA,NA
3155,3180,3164,3189,3182,3265,3213,3,5,5,3,2,3,,,,,,,NA,NA,NA,NA,NA,NA
3000,3264,3004,3001,3031,,,5,5,5,5,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
3230,3031,3020,3001,3266,3051,,5,4,3,2,2,NA,3000,3001,,,,,2,1,NA,NA,NA,NA
