PPID,Friend1Name,Friend2Name,Friend3Name,Friend4Name,Friend5Name,Friend6Name,FriendStrength1,FriendStrength2,FriendStrength3,FriendStrength4,FriendStrength5,FriendStrength6,Politics1Name,Politics2Name,Politics3Name,Politics4Name,Politics5Name,Politics6Name,PoliticsStrength1,PoliticsStrength2,PoliticsStrength3,PoliticsStrength4,PoliticsStrength5,PoliticsStrength6
4003,4004,4199,4005,4192,4193,4006,5,5,5,4,3,3,4199,4005,4192,,,,1,1,1,,,
4202,,,,,,,,,,,,,,,,,,,,,,,,
4137,4133,4131,4144,4132,,,,,,,,,4144,4133,4131,,,,,,,,,
4186,4184,4181,4182,4187,4185,4188,4,4,3,3,3,4,4187,4182,Nora,,,,2,2,,,,
4206,4213,4212,4215,4223,,,,,,,,,,,,,,,,,,,,
4230,4231,,,,,,5,,,,,,4231,,,,,,2,,,,,
4161,4164,,,,,,,,,,,,4164,,,,,,,,,,,
4181,4038,4045,4211,4016,4007,4011,5,4,2,3,4,4,4011,4185,4187,,,,4,4,2,,,
4213,4215,4206,,,,,4,3,,,,,,,,,,,,,,,,
4007,4009,4181,4011,4202,4229,4184,5,5,5,3,3,3,,,,,,,,,,,,
4119,4124,4129,4121,4118,4159,,5,5,5,5,3,,,,,,,,,,,,,
4103,4092,4097,4100,,,,5,4,4,,,,4097,,,,,,2,,,,,
4131,4137,4133,,,,,5,5,,,,,4133,4137,,,,,2,2,,,,
4033,4025,4030,,,,,2,2,,,,,4029,4025,,,,,2,2,,,,
