PPID,Friend1Name,Friend2Name,Friend3Name,Friend4Name,Friend5Name,Friend6Name,FriendStrength1,FriendStrength2,FriendStrength3,FriendStrength4,FriendStrength5,FriendStrength6,Politics1Name,Politics2Name,Politics3Name,Politics4Name,Politics5Name,Politics6Name,PoliticsStrength1,PoliticsStrength2,PoliticsStrength3,PoliticsStrength4,PoliticsStrength5,PoliticsStrength6
441,442,439,110,440,438,126,5,5,5,4,4,4,110,442,440,,,,4,4,4,,,
394,279,291,393,,,,4,4,5,,,,393,,,,,,3,,,,,
437,448,441,440,445,447,,,,,,,,439,,,,,,,,,,,
900,458,461,620,,,,5,5,3,,,,,,,,,,,,,,,
448,437,,,,,,5,,,,,,440,,,,,,3,,,,,
350,354,346,349,355,,,5,4,3,3,,,354,,,,,,2,,,,,
442,441,443,439,438,110,,5,5,4,4,4,,441,438,439,,,,4,3,3,,,
153,169,160,155,194,,,4,5,3,1,,,,,,,,,,,,,,
165,170,179,164,146,192,200,5,5,5,5,5,5,170,164,,,,,3,3,,,,
569,553,579,592,580,551,578,4,4,4,4,4,4,586,540,553,580,585,,3,3,2,2,3,
671,676,675,,,,,4,3,4,,,,675,676,,,,,3,2,,,,
136,122,137,118,129,145,127,,,,,,,137,,,,,,,,,,,
169,171,153,194,148,524,199,5,5,5,5,5,4,194,153,171,148,164,189,4,4,4,3,2,2
438,439,446,442,437,447,441,,,,,,,446,439,442,441,437,447,,,,,,
381,209,374,,,,,5,5,,,,,,,,,,,,,,,,
589,571,,,,,,5,,,,,,571,,,,,,2,,,,,
676,526,524,241,,,,5,5,5,,,,526,241,675,,,,2,2,2,,,
735,721,717,708,720,714,,5,4,4,4,4,,721,,720,,,,2,3,2,,,
560,715,587,620,548,132,,4,4,4,4,4,,715,,,,,,2,,,,,
545,578,553,592,555,,,5,4,4,4,2,,,,,,,,2,,,,,
667,717,658,536,218,670,,5,4,4,5,5,,670,,,,,,2,,,,,
263,251,,235,261,255,,5,4,2,2,5,,251,255,,,,,4,3,,,,
247,257,261,289,251,264,286,5,5,5,5,4,5,257,,,,,,2,,,,,
745,744,341,743,746,328,356,5,5,4,4,4,5,356,341,,,,,1,1,,,,
466,291,279,241,282,652,194,4,4,4,3,3,4,,,,,,,,,,,,
248,235,293,290,285,291,674,4,5,4,5,5,5,293,674,291,,,,2,3,2,,,
901,682,,,,,,5,,,,,,,,,,,,,,,,,
688,736,732,729,,,,5,3,4,,,,736,,,,,,3,,,,,
150,172,178,147,144,156,152,5,5,3,4,3,3,172,178,,,,,2,1,,,,
597,595,594,,,,,,,,,,,595,594,,,,,,,,,,
674,670,679,673,667,666,,5,5,2,2,2,,679,670,,,,,3,3,,,,
200,148,165,202,201,170,188,5,4,4,4,4,4,202,201,162,148,170,188,3,2,2,2,2,3
474,476,,477,472,473,470,4,2,4,4,2,4,,,,,,,,,,,,
517,321,,,,,,5,,,,,,321,,,,,,2,,,,,
605,,649,,,,,5,4,,,,,652,657,,,,,2,3,,,,
446,438,440,445,,,,5,4,5,,,,,,,,,,,,,,,
675,671,676,678,694,680,,4,3,4,3,4,,671,676,680,,,,3,4,3,,,
144,172,156,,,,,5,5,5,,,,172,187,194,179,170,,4,4,1,1,1,
702,742,710,709,,,,5,5,4,,,,710,742,,,,,4,4,,,,
197,146,166,151,189,164,188,,,,,,,146,155,,,,,,,,,,
642,610,611,624,277,632,,4,4,4,3,3,,,,,,,,,,,,,
276,291,,,,,,2,2,,,,,,,,,,,,,,,,
455,466,459,665,291,279,194,5,5,5,3,3,4,459,,,,,,3,,,,,
123,145,192,146,174,,,2,2,1,4,,,174,145,192,,,,2,1,1,,,
439,440,436,446,437,445,447,5,5,3,3,3,2,441,,,,,,2,,,,,
611,619,652,624,636,610,,5,5,5,5,4,,,,,,,,,,,,,
115,108,134,,,,,5,3,,,,,,,,,,,,,,,,
166,197,146,,,164,165,4,5,3,3,4,4,146,148,164,165,159,169,4,4,3,3,3,3
330,336,320,,,,,3,2,,,,,336,320,,,,,1,2,,,,
174,142,192,143,174,,,5,2,3,5,,,166,,,,,,,,,,,
505,471,470,752,748,449,,5,5,5,5,5,,752,471,470,,,,2,2,2,,,
407,423,754,,,,,2,2,,,,,,,,,,,,,,,,
499,497,501,482,490,692,,5,4,3,2,5,,497,,,,,,2,,,,,
423,407,754,,,,,3,5,,,,,,,,,,,,,,,,
426,407,423,420,,419,,4,4,4,4,4,,,,,,,,,,,,,
522,530,524,527,526,525,529,4,4,3,3,3,3,530,524,528,,,,1,1,1,,,
436,439,440,446,,447,445,5,5,5,5,4,5,440,439,,,,,3,3,2,,,
301,332,319,340,,,,5,4,4,,,,332,,,,,,3,,,,,
552,561,,579,584,556,547,5,5,4,4,3,3,579,561,553,,,,2,1,1,,,
469,468,478,470,477,472,473,5,5,5,4,5,4,468,470,478,472,,,3,2,3,2,,
475,505,752,471,450,,,4,3,3,5,,,,,,,,,,,,,,
473,470,476,521,753,472,749,5,4,4,5,4,4,470,753,476,,,,2,2,2,,,
548,715,132,587,560,,,5,5,4,4,,,715,560,,,,,1,1,,,,
507,508,506,,,,,5,2,,,,,508,,,,,,2,,,,,
470,474,472,477,473,476,,5,5,5,5,5,,473,,,,,,1,,,,,
116,127,102,105,192,145,174,5,5,5,5,5,4,127,102,105,192,145,174,4,4,4,4,4,3
238,289,284,288,,,,5,5,4,3,,,284,,,,,,4,,,,,
324,316,298,299,308,303,334,4,4,4,4,3,1,299,308,298,,,,4,2,3,,,
640,646,608,658,611,655,,5,4,3,2,2,,646,,,,,,2,,,,,
575,568,,,,,,5,,,,,,549,,,,,,2,,,,,
583,725,352,230,540,,,5,5,4,3,,,540,,,,,,1,,,,,
284,526,172,524,156,178,144,4,3,4,3,4,3,,,,,,,,,,,,
246,245,,,,,,5,,,,,,,,,,,,,,,,,
391,389,,647,,,,4,4,4,,,,389,,,,,,2,,,,,
632,624,636,611,619,,,5,5,4,3,,,624,,,,,,2,,,,,
387,386,756,411,423,,,5,5,5,5,,,386,411,756,423,,,3,2,1,1,,
310,304,516,313,,,,5,5,5,,,,304,313,,,,,2,1,,,,
313,304,310,516,319,340,311,5,5,5,4,5,5,516,304,319,340,311,310,4,4,3,2,3,4
540,539,585,352,547,194,543,5,5,4,4,3,4,569,579,,,,,2,2,,,,
715,560,548,587,237,242,256,5,5,5,5,5,5,240,242,560,548,132,100,3,3,3,2,2,2
509,506,473,508,507,,,,,,,,,,,,,,,,,,,,
461,456,463,467,465,453,458,5,5,5,5,5,5,463,459,456,,,,3,1,2,,,
406,408,,428,755,413,416,5,5,5,4,4,4,,428,,,,,3,2,,,,
534,532,562,567,576,,591,4,3,3,4,4,4,,,,,,,,,,,,
132,620,715,107,560,,,5,5,4,5,,,620,715,560,,,,2,2,2,,,
531,530,524,527,528,526,523,4,3,3,2,2,3,530,527,,,,,2,1,,,,
443,439,442,441,436,,,2,5,5,3,,,441,,,,,,2,,,,,
172,144,150,187,156,,,5,3,5,5,,,144,187,,,,,4,3,,,,
114,102,124,145,192,123,129,5,5,5,2,1,2,145,,,,,,1,,,,,
297,296,291,235,277,251,271,5,4,3,4,4,4,277,271,296,240,295,,2,2,2,3,3,
603,281,614,607,,,,5,3,3,,,,614,607,,,,,2,2,,,,
500,494,491,576,383,486,,5,5,3,3,2,,494,,,,,,2,,,,,
679,,,,,,,,,,,,,670,674,,,,,3,3,,,,
457,465,454,452,,,,5,5,5,,,,,,,,,,,,,,,
102,116,105,192,145,127,114,5,5,5,5,5,5,116,127,145,192,105,114,1,1,1,1,1,2
641,634,617,,,,,5,5,4,,,,,,,,,,,,,,,
459,466,455,,,,,5,5,,,,,,,,,,,,,,,,
440,439,446,445,436,441,447,5,4,5,5,2,1,439,436,445,446,,,3,3,2,1,,
362,335,306,161,,744,,3,4,2,2,2,2,323,,,,,,,,,,,
111,398,122,136,121,120,,5,4,3,4,3,,398,,,,,,1,,,,,
610,611,642,619,634,658,614,5,5,3,4,3,3,642,611,658,,,,2,3,3,,,
604,602,616,630,,,,,,,,,,657,,,,,,,,,,,
504,503,505,,,,,5,2,,,,,503,,,,,,1,,,,,
164,179,170,165,146,181,149,4,4,4,4,4,4,179,181,193,170,165,194,3,4,2,3,3,3
450,750,449,475,,,,,,,,,,750,475,,,,,,,,,,
121,139,118,120,246,245,,5,5,5,5,5,,,,,,,,,,,,,
736,725,729,705,688,681,710,5,5,5,3,4,5,725,729,710,681,688,705,3,2,2,1,3,2
105,174,192,145,158,102,116,4,4,4,3,5,5,102,116,174,,,,2,3,1,,,
716,721,708,687,741,696,710,5,5,5,4,4,4,721,710,,741,717,718,3,4,3,2,2,2
127,174,192,145,116,105,102,5,5,5,5,5,5,116,174,105,,,,2,2,2,,,
196,202,151,188,154,173,157,2,4,4,3,4,2,,,,,,,,,,,,
148,198,199,194,153,169,170,5,4,3,2,5,4,170,165,181,164,202,176,4,3,2,2,3,4
351,344,,,,,,5,,,,,,344,,,,,,3,,,,,
255,263,257,270,,,,4,4,4,5,,,257,,,,,,2,,,,,
688,736,,,,,,5,,,,,,736,,,,,,3,,,,,
411,413,434,386,387,423,,,,,,,,422,413,,,,,,,,,,
521,476,473,470,753,,,5,3,3,3,,,470,473,753,476,,,3,3,1,3,,
186,,,,,,,,,,,,,,,,,,,,,,,,
657,652,602,649,,611,,4,4,4,4,4,,,,,,,,3,,,,,
145,192,174,,,180,198,5,5,3,4,3,4,,174,146,,,,2,2,2,,,
160,146,166,164,192,153,155,4,5,2,4,5,5,155,166,145,153,192,158,2,1,1,1,1,2
503,504,505,141,,,,5,4,3,3,,,141,505,,,,,2,2,,,,
